League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2017-04-18 03:00,Middlesbrough,1-2,Arsenal,11,2,0,35%,13(5),308(216),70%,0.7,6.7,ENG PR,2017-04-18 03:00,Middlesbrough,1-2,Arsenal,2,3,50(24),2,26,6,2,20,6.7
ENG PR,2017-04-08 22:00,Middlesbrough,0-0,Burnley,9,0,0,56%,12(5),453(371),82%,0.82,6.8,ENG PR,2017-04-08 22:00,Middlesbrough,0-0,Burnley,4,2,49(31),2,16,4,3,21,6.8
ENG PR,2017-04-06 02:45,Hull City,4-2,Middlesbrough,12,1,0,52%,12(4),431(325),75%,0.75,6.85,ENG PR,2017-04-06 02:45,Hull City,4-2,Middlesbrough,4,1,54(35),1,28,4,4,24,6.85
ENG PR,2017-04-02 20:30,Swansea City,0-0,Middlesbrough,16,3,0,45%,8(1),360(259),72%,0.72,7.09,ENG PR,2017-04-02 20:30,Swansea City,0-0,Middlesbrough,3,0,44(21),3,30,4,3,14,7.09
ENG PR,2017-03-19 20:00,Middlesbrough,1-3,Manchester United,9,1,0,64%,8(1),555(460),83%,0.83,6.45,ENG PR,2017-03-19 20:00,Middlesbrough,1-3,Manchester United,8,0,41(20),3,27,4,3,22,6.45
ENG PR,2017-03-04 23:00,Stoke City,2-0,Middlesbrough,20,2,0,47%,13(1),367(277),75%,0.75,6.53,ENG PR,2017-03-04 23:00,Stoke City,2-0,Middlesbrough,1,2,40(20),6,46,9,3,25,6.53
ENG PR,2017-02-25 23:00,Crystal Palace,1-0,Middlesbrough,15,1,0,54%,11(4),429(328),76%,0.76,6.62,ENG PR,2017-02-25 23:00,Crystal Palace,1-0,Middlesbrough,2,0,42(20),2,40,6,1,18,6.62
ENG PR,2017-02-11 23:00,Middlesbrough,0-0,Everton,14,2,0,46%,7(1),463(339),73%,0.73,6.99,ENG PR,2017-02-11 23:00,Middlesbrough,0-0,Everton,5,0,46(24),3,35,4,2,22,6.99
ENG PR,2017-02-05 01:30,Tottenham Hotspur,1-0,Middlesbrough,11,1,0,35%,8(0),314(216),69%,0.69,6.73,ENG PR,2017-02-05 01:30,Tottenham Hotspur,1-0,Middlesbrough,2,1,42(23),4,39,5,3,17,6.73
ENG PR,2017-02-01 03:45,Middlesbrough,1-1,West Bromwich(WBA),12,2,0,62%,14(6),482(382),79%,0.79,6.9,ENG PR,2017-02-01 03:45,Middlesbrough,1-1,West Bromwich(WBA),4,0,34(21),4,27,2,6,25,6.9
