League,Time,Home,Score,Away,Fouls,Yellow Card,Red Card,Possession,Shots (OT),Passes (Success),Pass Success%,Dribbles,Rating,League,Time,Home,Score,Away,Corners,Offsides,Head(Success),saves,Tackles,Off Target,Blocked,Throws,Rating
ENG PR,2017-04-15 19:30,Tottenham Hotspur,4-0,Bournemouth AFC,8,0,0,69%,24(14),655(582),89%,0.89,7.53,ENG PR,2017-04-15 19:30,Tottenham Hotspur,4-0,Bournemouth AFC,13,3,24(15),1,17,1,9,26,7.53
ENG PR,2017-04-08 19:30,Tottenham Hotspur,4-0,Watford,12,0,0,57%,21(6),498(434),87%,0.87,7.67,ENG PR,2017-04-08 19:30,Tottenham Hotspur,4-0,Watford,7,1,18(12),2,38,5,8,27,7.67
ENG PR,2017-04-06 02:45,Swansea City,1-3,Tottenham Hotspur,8,1,0,72%,18(8),640(558),87%,0.87,7.11,ENG PR,2017-04-06 02:45,Swansea City,1-3,Tottenham Hotspur,7,4,28(17),0,32,5,5,25,7.11
ENG PR,2017-04-01 22:00,Burnley,0-2,Tottenham Hotspur,6,0,0,62%,19(7),572(468),82%,0.82,7.23,ENG PR,2017-04-01 22:00,Burnley,0-2,Tottenham Hotspur,7,1,43(20),2,14,6,6,25,7.23
ENG PR,2017-03-19 22:15,Tottenham Hotspur,2-1,Southampton,12,3,0,51%,12(6),459(342),75%,0.75,6.74,ENG PR,2017-03-19 22:15,Tottenham Hotspur,2-1,Southampton,5,2,24(11),2,20,2,4,27,6.74
ENG PR,2017-03-05 21:30,Tottenham Hotspur,3-2,Everton,9,1,0,51%,21(7),453(363),80%,0.8,7,ENG PR,2017-03-05 21:30,Tottenham Hotspur,3-2,Everton,7,2,30(19),2,22,5,8,31,7
ENG PR,2017-02-26 21:30,Tottenham Hotspur,4-0,Stoke City,11,2,0,64%,22(9),583(502),86%,0.86,7.58,ENG PR,2017-02-26 21:30,Tottenham Hotspur,4-0,Stoke City,8,1,26(11),3,20,7,5,26,7.58
ENG PR,2017-02-12 01:30,Liverpool,2-0,Tottenham Hotspur,14,5,0,49%,6(1),417(293),70%,0.7,6.47,ENG PR,2017-02-12 01:30,Liverpool,2-0,Tottenham Hotspur,3,1,32(17),7,26,4,1,28,6.47
ENG PR,2017-02-05 01:30,Tottenham Hotspur,1-0,Middlesbrough,8,0,0,65%,18(5),579(492),85%,0.85,7,ENG PR,2017-02-05 01:30,Tottenham Hotspur,1-0,Middlesbrough,11,5,42(19),0,28,6,6,36,7
ENG PR,2017-02-01 03:45,Sunderland A.F.C,0-0,Tottenham Hotspur,13,0,0,72%,13(2),556(468),84%,0.84,6.69,ENG PR,2017-02-01 03:45,Sunderland A.F.C,0-0,Tottenham Hotspur,12,3,33(12),1,17,4,7,41,6.69
ENG PR,2017-01-22 01:30,Manchester City,2-2,Tottenham Hotspur,7,4,0,45%,6(2),400(285),71%,0.71,6.64,ENG PR,2017-01-22 01:30,Manchester City,2-2,Tottenham Hotspur,4,5,27(17),5,35,3,1,40,6.64
ENG PR,2017-01-14 20:30,Tottenham Hotspur,4-0,West Bromwich(WBA),11,0,0,73%,22(12),670(587),88%,0.88,7.62,ENG PR,2017-01-14 20:30,Tottenham Hotspur,4-0,West Bromwich(WBA),8,1,19(10),0,24,7,3,26,7.62
ENG PR,2017-01-05 04:00,Tottenham Hotspur,2-0,Chelsea,9,3,0,46%,12(5),440(334),76%,0.76,7.24,ENG PR,2017-01-05 04:00,Tottenham Hotspur,2-0,Chelsea,1,2,34(20),2,34,6,1,30,7.24
ENG PR,2017-01-01 21:30,Watford,1-4,Tottenham Hotspur,6,0,0,66%,20(6),572(479),84%,0.84,7.45,ENG PR,2017-01-01 21:30,Watford,1-4,Tottenham Hotspur,3,3,28(15),1,25,11,2,32,7.45
ENG PR,2016-12-29 03:45,Southampton,1-4,Tottenham Hotspur,16,4,0,65%,17(5),619(521),84%,0.84,7.13,ENG PR,2016-12-29 03:45,Southampton,1-4,Tottenham Hotspur,10,0,24(10),1,32,7,5,23,7.13
ENG PR,2016-12-18 23:59,Tottenham Hotspur,2-1,Burnley,10,1,0,60%,32(10),481(402),84%,0.84,7.42,ENG PR,2016-12-18 23:59,Tottenham Hotspur,2-1,Burnley,11,0,42(24),1,20,12,9,26,7.42
ENG PR,2016-12-15 04:00,Tottenham Hotspur,3-0,Hull City,6,0,0,63%,25(9),672(590),88%,0.88,7.1,ENG PR,2016-12-15 04:00,Tottenham Hotspur,3-0,Hull City,5,2,34(14),5,15,6,12,14,7.1
ENG PR,2016-12-11 22:15,Manchester United,1-0,Tottenham Hotspur,17,3,0,60%,12(4),429(332),77%,0.77,6.72,ENG PR,2016-12-11 22:15,Manchester United,1-0,Tottenham Hotspur,8,0,33(13),4,25,4,4,31,6.72
ENG PR,2016-12-03 23:00,Tottenham Hotspur,5-0,Swansea City,11,0,0,60%,28(15),577(492),85%,0.85,7.93,ENG PR,2016-12-03 23:00,Tottenham Hotspur,5-0,Swansea City,5,3,25(14),0,22,7,6,25,7.93
ENG PR,2016-11-27 01:30,Chelsea,2-1,Tottenham Hotspur,16,1,0,54%,12(6),458(370),81%,0.81,6.66,ENG PR,2016-11-27 01:30,Chelsea,2-1,Tottenham Hotspur,8,3,32(19),3,28,5,1,23,6.66
ENG PR,2016-11-20 01:30,Tottenham Hotspur,3-2,West Ham United,13,3,0,67%,14(6),595(506),85%,0.85,6.68,ENG PR,2016-11-20 01:30,Tottenham Hotspur,3-2,West Ham United,4,2,23(10),1,29,4,4,26,6.68
ENG PR,2016-11-06 20:00,Arsenal,1-1,Tottenham Hotspur,17,2,0,54%,10(3),520(390),75%,0.75,6.71,ENG PR,2016-11-06 20:00,Arsenal,1-1,Tottenham Hotspur,2,1,36(16),2,20,7,0,22,6.71
ENG PR,2016-10-29 22:00,Tottenham Hotspur,1-1,Leicester City,11,3,0,61%,22(5),496(407),82%,0.82,6.93,ENG PR,2016-10-29 22:00,Tottenham Hotspur,1-1,Leicester City,8,2,42(30),0,15,11,6,36,6.93
ENG PR,2016-10-22 19:30,Bournemouth AFC,0-0,Tottenham Hotspur,15,4,0,62%,16(4),543(451),83%,0.83,6.73,ENG PR,2016-10-22 19:30,Bournemouth AFC,0-0,Tottenham Hotspur,4,3,11(4),1,27,6,6,27,6.73
ENG PR,2016-10-15 22:00,West Bromwich(WBA),1-1,Tottenham Hotspur,10,2,0,72%,20(8),599(540),90%,0.9,6.99,ENG PR,2016-10-15 22:00,West Bromwich(WBA),1-1,Tottenham Hotspur,8,3,21(13),3,20,3,9,15,6.99
ENG PR,2016-10-02 21:15,Tottenham Hotspur,2-0,Manchester City,20,2,0,42%,13(7),342(247),72%,0.72,7.22,ENG PR,2016-10-02 21:15,Tottenham Hotspur,2-0,Manchester City,4,8,27(12),6,49,4,2,24,7.22
ENG PR,2016-09-24 22:00,Middlesbrough,1-2,Tottenham Hotspur,9,1,0,59%,19(5),552(454),82%,0.82,6.81,ENG PR,2016-09-24 22:00,Middlesbrough,1-2,Tottenham Hotspur,10,3,31(16),1,24,7,7,25,6.81
ENG PR,2016-09-18 23:30,Tottenham Hotspur,1-0,Sunderland A.F.C,7,1,0,74%,31(9),615(548),89%,0.89,7.18,ENG PR,2016-09-18 23:30,Tottenham Hotspur,1-0,Sunderland A.F.C,14,0,29(19),2,27,15,7,28,7.18
ENG PR,2016-09-10 22:00,Stoke City,0-4,Tottenham Hotspur,18,2,0,60%,20(8),508(426),84%,0.84,7.47,ENG PR,2016-09-10 22:00,Stoke City,0-4,Tottenham Hotspur,8,0,34(15),2,17,4,8,22,7.47
ENG PR,2016-08-27 19:30,Tottenham Hotspur,1-1,Liverpool,11,3,0,49%,11(4),420(306),73%,0.73,6.81,ENG PR,2016-08-27 19:30,Tottenham Hotspur,1-1,Liverpool,5,2,19(14),2,25,5,2,27,6.81
ENG PR,2016-08-20 22:00,Tottenham Hotspur,1-0,Crystal Palace,19,3,0,51%,16(4),441(354),80%,0.8,7.17,ENG PR,2016-08-20 22:00,Tottenham Hotspur,1-0,Crystal Palace,10,2,22(14),1,42,12,6,18,7.17
ENG PR,2016-08-13 22:00,Everton,1-1,Tottenham Hotspur,14,0,0,59%,4(1),485(387),80%,0.8,6.74,ENG PR,2016-08-13 22:00,Everton,1-1,Tottenham Hotspur,6,0,27(11),5,24,3,5,42,6.74
ENG PR,2016-05-15 22:00,Newcastle United,5-1,Tottenham Hotspur,6,2,0,62%,17(5),550(490),89%,0.89,6.21,ENG PR,2016-05-15 22:00,Newcastle United,5-1,Tottenham Hotspur,8,1,8(5),5,30,6,6,26,6.21
ENG PR,2016-05-08 20:30,Tottenham Hotspur,1-2,Southampton,8,0,0,70%,20(6),589(502),85%,0.85,6.72,ENG PR,2016-05-08 20:30,Tottenham Hotspur,1-2,Southampton,10,1,21(7),0,24,9,5,28,6.72
ENG PR,2016-05-03 03:00,Chelsea,2-2,Tottenham Hotspur,20,9,0,51%,16(5),406(326),80%,0.8,6.8,ENG PR,2016-05-03 03:00,Chelsea,2-2,Tottenham Hotspur,8,0,30(15),3,32,5,6,22,6.8
ENG PR,2016-04-26 03:00,Tottenham Hotspur,1-1,West Bromwich(WBA),8,0,0,61%,19(2),537(458),85%,0.85,6.81,ENG PR,2016-04-26 03:00,Tottenham Hotspur,1-1,West Bromwich(WBA),9,1,23(9),2,23,9,8,21,6.81
ENG PR,2016-04-19 03:00,Stoke City,0-4,Tottenham Hotspur,12,0,0,53%,23(6),396(316),80%,0.8,7.85,ENG PR,2016-04-19 03:00,Stoke City,0-4,Tottenham Hotspur,3,1,22(14),2,41,13,4,29,7.85
ENG PR,2016-04-10 23:30,Tottenham Hotspur,3-0,Manchester United,10,3,0,48%,16(8),392(280),71%,0.71,7.72,ENG PR,2016-04-10 23:30,Tottenham Hotspur,3-0,Manchester United,2,3,20(10),1,37,7,1,28,7.72
ENG PR,2016-04-03 00:30,Liverpool,1-1,Tottenham Hotspur,11,0,0,53%,14(5),458(361),79%,0.79,7.33,ENG PR,2016-04-03 00:30,Liverpool,1-1,Tottenham Hotspur,9,1,20(14),6,24,5,6,24,7.33
ENG PR,2016-03-20 23:59,Tottenham Hotspur,3-0,Bournemouth AFC,11,0,0,55%,17(8),598(519),87%,0.87,7.52,ENG PR,2016-03-20 23:59,Tottenham Hotspur,3-0,Bournemouth AFC,4,3,26(17),0,40,8,1,25,7.52
ENG PR,2016-03-13 23:59,Aston Villa,0-2,Tottenham Hotspur,6,0,0,62%,19(8),573(478),83%,0.83,7.37,ENG PR,2016-03-13 23:59,Aston Villa,0-2,Tottenham Hotspur,8,2,23(9),2,32,6,5,22,7.37
